User Language,IPSP name,URL,Geographic region,Country,Publication languages,Parent organisation,Parent organisation name,Does the IPSP only provide services to its parent organisation?,IPSP/parent organisation legal entity,IPSP/parent organisation legal entity (free text),Type of IPSP,Services provided,Services provided (free text),Publish or provide service - Academic Journals,Publish or provide service - Academic Books,Publish or provide service - Conference outputs,Publish or provide service - Grey literature,"Publish or provide service - Other research products (e.g. media, digital)",Publish or provide service - Non-academic outputs,"Publish or provide service - Other (e.g. datasets, digital scholarship, software)",Disciplines
English,Journal Communications - Scientific Letters of the University of Žilina,https://komunikacie.uniza.sk,Eastern Europe,Slovakia,English,Yes,University of Žilina,[No response],"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Institutional publisher (the entity that controls publishing operations),"Editorial, Production, IT, Communication",,Publish and Service,[No response],[No response],[No response],[No response],[No response],[No response],Engineering and technology
French,Maison d'édition scientifique de l'université de Strasbourg (Presses universitaires de Strasbourg),https://pus.unistra.fr/,Western Europe,France,French - English - German,Yes,Université de Strasbourg,Yes,Withdrawn,[No response],Institutional publisher (the entity that controls publishing operations),Withdrawn,,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Withdrawn,"Social sciences,Humanities"
English,"University of Belgrade - Faculty of Philosophy, Department of Ethnology and Anthropology",https://www.f.bg.ac.rs/etnologija_antropologija,Southern Europe,Serbia,Serbian - English - French,Yes,University of Belgrade - Faculty of Philosophy,No,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Institutional publisher (the entity that controls publishing operations),Editorial,,Publish,Publish,Publish,[No response],[No response],[No response],[No response],"Social sciences,Humanities"
English,Scenario Journal,http://scenario.ucc.ie,Northern Europe,Republic of Ireland,English - German - Italian,Yes,University College Cork,No,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Service provider to institutional publishers (an entity tasked by an  institution  or an institutional publisher with carrying out specific services),"Editorial, Production, IT, Communication",,Publish,Publish,Publish,[No response],Publish,[No response],[No response],Humanities
English,Tidsskrift.dk,https://tidsskrift.dk,Northern Europe,Denmark (including Faroe Islands and Greenland),Danish - English - Norwegian - Swedish - Portuguese,Yes,Royal Danish Library,No,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Service provider to institutional publishers (an entity tasked by an  institution  or an institutional publisher with carrying out specific services),"IT, Administrative, legal and financial, Training, support and/or advice",,Service,[No response],Service,[No response],[No response],Service,[No response],"Multidisciplinary,Social sciences,Humanities"
English,Suomalaisen Kirjallisuuden Seuran tiedekustantamo / Scholarly Publishing department of the Finnish Literature Society,https://oa.finlit.fi/,Northern Europe,Finland (including Åland Islands),Finnish - English,Yes,Suomalaisen Kirjallisuuden Seura / Finnish Literature Society,No,"Private not-for-profit organisation, (e.g. Charity, Foundation, Learned Society, or Association)",[No response],Institutional publisher (the entity that controls publishing operations),"Editorial, Production, IT, Communication, Administrative, legal and financial, Training, support and/or advice, Other",Digital editions based on open data.,[No response],Publish and Service,[No response],[No response],[No response],[No response],Publish and Service,Humanities
English,Suomen Kielen Seura / Sananjalka,https://journal.fi/sananjalka,Northern Europe,Finland (including Åland Islands),Finnish,Yes,Suomen Kielen Seura,No,"Private not-for-profit organisation, (e.g. Charity, Foundation, Learned Society, or Association)",[No response],Withdrawn,Withdrawn,,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Humanities
English,Directory of Open Access Journals,https://doaj.org/,Northern Europe,Denmark (including Faroe Islands and Greenland),English,Yes,Infrastructure Services for Open Access C.I.C. (IS4OA),No,Other (please describe),Community Interest Company,Service provider to institutional publishers (an entity tasked by an  institution  or an institutional publisher with carrying out specific services),"Training, support and/or advice, Other",Indexation,Service,[No response],Service,[No response],[No response],[No response],Service,"Multidisciplinary,Natural sciences,Engineering and technology,Medical and health sciences,Agricultural sciences,Social sciences,Humanities"
English,AU Library Scholarly Publishing Services,https://ebooks.au.dk/aul,Northern Europe,Denmark (including Faroe Islands and Greenland),Danish - English,Yes,Royal Danish Library,Yes,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Service provider to institutional publishers (an entity tasked by an  institution  or an institutional publisher with carrying out specific services),"IT, Training, support and/or advice",,[No response],Publish and Service,Publish and Service,Publish and Service,[No response],[No response],[No response],"Multidisciplinary,Social sciences,Humanities"
English,Trinity College Dublin Research Informatics,https://www.tcd.ie/library/support/research.php,Northern Europe,Republic of Ireland,[No response],Yes,Trinity College Dublin,No,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Service provider to institutional publishers (an entity tasked by an  institution  or an institutional publisher with carrying out specific services),"Editorial, Production, IT, Training, support and/or advice",,Service,Service,[No response],Publish and Service,Publish and Service,[No response],[No response],Multidisciplinary
English,Tampere University Press,https://www.tuni.fi/tup,Northern Europe,Finland (including Åland Islands),Finnish - English - Swedish,Yes,Tampere University,No,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Institutional publisher (the entity that controls publishing operations),"Editorial, Production, IT, Communication, Administrative, legal and financial, Training, support and/or advice",,[No response],Publish,[No response],[No response],[No response],[No response],[No response],"Social sciences,Humanities"
English,Dublin Business School,https://libguides.dbs.ie/dbslibrarypress,Northern Europe,Republic of Ireland,English - Irish,Yes,Dublin Business School,Yes,"Private not-for-profit organisation, (e.g. Charity, Foundation, Learned Society, or Association)",[No response],Institutional publisher (the entity that controls publishing operations),"Editorial, Production, IT, Communication, Training, support and/or advice",,Publish,[No response],Publish,[No response],Publish,[No response],[No response],Multidisciplinary
English,"Boole Library, University College Cork",https://libguides.ucc.ie/library,Northern Europe,Republic of Ireland,English - German - Irish,Yes,University College Cork,Yes,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Service provider to institutional publishers (an entity tasked by an  institution  or an institutional publisher with carrying out specific services),"IT, Communication, Training, support and/or advice",,Publish and Service,Publish,Publish,Publish,Publish,Publish,Publish,Withdrawn
English,Åbo Akademi University Press & Åbo Akademi University Library,"https://www.abo.fi/en/abo-akademi-university-press/, and, https://www.abo.fi/en/library/publish/",Northern Europe,Finland (including Åland Islands),Swedish - English - Finnish,Yes,Åbo Akademi University,Yes,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Institutional publisher (the entity that controls publishing operations),"IT, Administrative, legal and financial, Training, support and/or advice",,Service,Publish and Service,Service,Service,[No response],[No response],[No response],"Multidisciplinary,Natural sciences,Engineering and technology,Medical and health sciences,Social sciences,Humanities"
English,CBS Open Journals,https://rauli.cbs.dk/,Northern Europe,Denmark (including Faroe Islands and Greenland),English - Danish,Yes,Copenhagen Business School,No,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Service provider to institutional publishers (an entity tasked by an  institution  or an institutional publisher with carrying out specific services),"IT, Training, support and/or advice",,Publish and Service,[No response],[No response],[No response],[No response],Publish and Service,[No response],"Social sciences,Humanities"
English,Suomen antropologi: Journal of the Finnish Anthropological Society,https://journal.fi/suomenantropologi/,Northern Europe,Finland (including Åland Islands),English,Yes,Finnish Anthropological Society,No,"Private not-for-profit organisation, (e.g. Charity, Foundation, Learned Society, or Association)",[No response],Institutional publisher (the entity that controls publishing operations),"Editorial, Production, Communication, Training, support and/or advice",,Publish,[No response],[No response],[No response],[No response],[No response],[No response],"Social sciences,Humanities"
English,Helsinki University Press,https://hup.fi/,Northern Europe,Finland (including Åland Islands),English,Yes,University of Helsinki,No,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Institutional publisher (the entity that controls publishing operations),"Editorial, Production, IT, Communication, Administrative, legal and financial, Training, support and/or advice",,Publish and Service,Publish and Service,[No response],[No response],[No response],[No response],[No response],"Multidisciplinary,Social sciences,Humanities"
English,Scand J Work Environ Health,https://www.sjweh.fi/,Northern Europe,Finland (including Åland Islands),English,Yes,Nordic Association of Occupational Safety and Health (NOROSH),Yes,"Private not-for-profit organisation, (e.g. Charity, Foundation, Learned Society, or Association)",[No response],Institutional publisher (the entity that controls publishing operations),"Editorial, Production, IT",,Publish and Service,[No response],[No response],[No response],[No response],[No response],[No response],Medical and health sciences
German,Saarländische Universitäts- und Landesbibliothek,https://www.sulb.uni-saarland.de,Western Europe,Germany,German - English - French,Yes,Saarland University,Yes,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Withdrawn,"Production, IT, Administrative, legal and financial",,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Withdrawn
English,Wolters Kluwer India Pvt. Ltd.,https://www.medknow.com,Rest of World,India,English,Yes,Wolters Kluwer,No,Other (please describe),IPSP is a company but the parent organization is a Corporation,Institutional publisher (the entity that controls publishing operations),"Production, IT, Communication, Training, support and/or advice",,Publish and Service,[No response],[No response],[No response],[No response],[No response],[No response],Medical and health sciences
Polish,Stowarzyszenie Bibliotekarzy Polskich,https://www.google.pl/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahukewj8-vly9ct-ahwbdraihwcjdliqfnoeca8qaq&url=http%3a%2f%2fwww.sbp.pl%2f&usg=aovvaw1urxvlle1baziqyty3a2dn,Eastern Europe,Poland,Polish - English,Yes,Wydawnictwo Naukowe i Edukacyjne Stowarzyszenia Bibliotekarzy Polskich,Yes,"Private not-for-profit organisation, (e.g. Charity, Foundation, Learned Society, or Association)",[No response],Institutional publisher (the entity that controls publishing operations),"Editorial, Production, IT, Communication, Administrative, legal and financial, Training, support and/or advice",,Publish,Publish,Publish,[No response],[No response],Publish,Publish,"Multidisciplinary,Social sciences,Humanities,Non-academic"
French,OPUS - Open Publishing Services,https://opus.u-paris.fr,Western Europe,France,French - English,Yes,Université Paris Cité,No,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Institutional publisher (the entity that controls publishing operations),"Editorial, Production, IT, Administrative, legal and financial, Training, support and/or advice",,Publish,Publish,Publish,[No response],[No response],[No response],[No response],Multidisciplinary
English,Czech Academy of Agricultural Sciences,https://agriculturejournals.cz/,Eastern Europe,Czechia,[No response],Yes,Ministry of Agriculture of the Czech Republic,Yes,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Institutional publisher (the entity that controls publishing operations),"Editorial, Production, IT, Communication, Administrative, legal and financial, Training, support and/or advice",,Publish,[No response],[No response],[No response],[No response],[No response],[No response],"Multidisciplinary,Engineering and technology,Medical and health sciences,Agricultural sciences,Social sciences"
Spanish,Sociedad venezolana de Oncología,https://www.oncologia.org.ve,Rest of World,Venezuela,Spanish - English,Yes,Sociedad Venezolana de Oncología,Yes,"Private not-for-profit organisation, (e.g. Charity, Foundation, Learned Society, or Association)",[No response],Service provider to institutional publishers (an entity tasked by an  institution  or an institutional publisher with carrying out specific services),Editorial,,Publish and Service,[No response],[No response],[No response],[No response],[No response],[No response],Medical and health sciences
English,Baltic Journal of Modern Computing,https://www.bjmc.lu.lv/,Northern Europe,Latvia,English,Yes,University of Latvia,No,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Institutional publisher (the entity that controls publishing operations),"Editorial, IT",,Publish,[No response],Publish,[No response],[No response],[No response],[No response],"Natural sciences,Engineering and technology"
German,Würzburg University Press,https://wup.uni-wuerzburg.de,Western Europe,Germany,German - English - Spanish - French - Italian,Yes,Universität Würzburg / Universitätsbibliothek Würzburg,Yes,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Institutional publisher (the entity that controls publishing operations),"Editorial, Production, IT, Administrative, legal and financial, Training, support and/or advice",,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Multidisciplinary
Polish,Instytut Historii im. Tadeusza Manteuffla Polskiej Akademii Nauk,https://ihpan.edu.pl/wydawnictwo,Eastern Europe,Poland,Polish - English - Russian - German - French,Yes,Instytut Historii im. Tadeusza Manteuffla Polskiej Akademii Nauk,Yes,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Institutional publisher (the entity that controls publishing operations),"Editorial, Production, Communication, Administrative, legal and financial, Training, support and/or advice",,Publish,Publish,Publish,[No response],Publish,[No response],[No response],"Multidisciplinary,Social sciences,Humanities"
Ukrainian,Medičnì perspektivi,https://medpers.dmu.edu.ua/en/,Eastern Europe,Ukraine,Ukrainian - English,Yes,Dnipro State Medical University,No,Withdrawn,[No response],Withdrawn,"Editorial, Production, IT, Communication",,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Medical and health sciences
Italian,PADOVA UNIVERSITY PRESS,https://www.padovauniversitypress.it,Southern Europe,Italy,Italian - English,Yes,UNIVERSITA' DEGLI STUDI DI PADOVA,No,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Withdrawn,"Editorial, Production, IT, Communication, Administrative, legal and financial, Training, support and/or advice",,Publish and Service,Publish and Service,Publish and Service,[No response],[No response],[No response],[No response],"Multidisciplinary,Social sciences,Humanities"
English,The Publishing Centre (CID),http://www.ekof.bg.ac.rs/publications/publishing-cid/?lang=en,Southern Europe,Serbia,Serbian - English,Yes,University of Belgrade - Faculty of Economcs and Bussines,Yes,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Institutional publisher (the entity that controls publishing operations),"Editorial, Administrative, legal and financial",,Publish,Publish,Publish,[No response],[No response],[No response],[No response],Social sciences
Spanish,CIDOB (Barcelona Center for International Affairs),https://www.cidob.org,Southern Europe,Spain,Spanish - English,Yes,CIDOB,Yes,"Private not-for-profit organisation, (e.g. Charity, Foundation, Learned Society, or Association)",[No response],Institutional publisher (the entity that controls publishing operations),"Editorial, Production, IT, Communication, Administrative, legal and financial",,Publish,[No response],Publish,[No response],Publish,Publish,[No response],"Multidisciplinary,Social sciences"
German,University of Bamberg Press,https://www.uni-bamberg.de/ubp/,Western Europe,Germany,German - English,Yes,Otto-Friedrich-Universität Bamberg,Yes,Withdrawn,[No response],Institutional publisher (the entity that controls publishing operations),"Editorial, Production, IT, Communication, Administrative, legal and financial, Training, support and/or advice",,Publish and Service,Publish and Service,Publish and Service,Publish and Service,Publish and Service,[No response],Publish and Service,Withdrawn
Italian,Università di Torino,https://www.ojs.unito.it/,Southern Europe,Italy,[No response],Yes,Università di Torino,Yes,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Institutional publisher (the entity that controls publishing operations),"IT, Administrative, legal and financial, Training, support and/or advice",,Publish and Service,Publish and Service,Publish and Service,[No response],[No response],[No response],[No response],"Social sciences,Humanities"
German,Berlin Universities Publishing (BerlinUP),https://www.berlin-universities-publishing.de/,Western Europe,Germany,English - German - French,Yes,"Freie Universität Berlin, Humboldt-Universität zu Berlin, Technische Universität Berlin, Charité - Universitätsmedizin Berlin",Yes,Withdrawn,[No response],Institutional publisher (the entity that controls publishing operations),"Editorial, Production, IT, Communication, Administrative, legal and financial, Training, support and/or advice",,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Multidisciplinary
English,Faculty of Forestry University of Sarajevo,https://www.radovi.sfsa.unsa.ba,Southern Europe,Bosnia & Herzegovina,English - Bosnian - Croatian - Serbian - German,Yes,University of sarajevo,No,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Institutional publisher (the entity that controls publishing operations),Editorial,,Publish,[No response],[No response],[No response],[No response],[No response],[No response],"Natural sciences,Agricultural sciences"
English,RTU Press,https://www.rtu.lv/en/research/rtu-press,Northern Europe,Latvia,English - Latvian - Russian,Yes,Riga Technical University,No,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Institutional publisher (the entity that controls publishing operations),"Editorial, Production, IT, Training, support and/or advice",,Publish,Publish,Publish,[No response],[No response],Publish,[No response],"Multidisciplinary,Natural sciences,Engineering and technology,Social sciences,Humanities"
Polish,Studia Semiotyczne,http://studiasemiotyczne.pts.edu.pl/,Eastern Europe,Poland,English - Polish,Yes,Polskie Towarzystwo Semiotyczne,No,"Private not-for-profit organisation, (e.g. Charity, Foundation, Learned Society, or Association)",[No response],Service provider to institutional publishers (an entity tasked by an  institution  or an institutional publisher with carrying out specific services),"Editorial, Production, IT, Communication",,Publish and Service,[No response],[No response],[No response],[No response],[No response],[No response],Humanities
German,Universitätsbibliothek Zürich,https://hope.uzh.ch,Western Europe,Switzerland,English - German - French - Italian - Spanish,Yes,Universität Zürich,Yes,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Service provider to institutional publishers (an entity tasked by an  institution  or an institutional publisher with carrying out specific services),"IT, Training, support and/or advice",,Publish and Service,[No response],[No response],[No response],[No response],[No response],Publish and Service,"Social sciences,Humanities"
Spanish,INSTITUTO DE ESTUDIOS RIOJANOS,https://www.larioja.org/i-estudios-riojanos/es,Southern Europe,Spain,Spanish - English - French - Portuguese,Yes,GOBIERNO DE LA RIOJA,Yes,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Institutional publisher (the entity that controls publishing operations),"Editorial, Production, IT, Communication, Administrative, legal and financial",,Publish and Service,Publish and Service,Publish,[No response],[No response],Publish and Service,[No response],"Multidisciplinary,Natural sciences,Engineering and technology,Medical and health sciences,Agricultural sciences,Social sciences,Humanities,Non-academic"
Spanish,Universitat Politènica de València,http://polipapers.upv.es/,Southern Europe,Spain,English - Spanish - Catalan,Yes,Universitat Politècncia de València,No,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Institutional publisher (the entity that controls publishing operations),"Editorial, Production",,Publish and Service,Publish and Service,Publish and Service,[No response],[No response],[No response],[No response],"Engineering and technology,Agricultural sciences,Social sciences,Humanities"
English,University of Maribor Press/University of Maribor Library,https://press.um.si/index.php/ump,Southern Europe,Slovenia,Slovene/Slovenian - English - German - Croatian - Serbian,Yes,University of Maribor,Yes,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Institutional publisher (the entity that controls publishing operations),"Production, IT, Communication, Training, support and/or advice",,Publish and Service,Publish and Service,Publish and Service,[No response],Publish and Service,[No response],[No response],"Multidisciplinary,Natural sciences,Engineering and technology,Medical and health sciences,Agricultural sciences,Social sciences,Humanities,Non-academic"
Spanish,EDICIONES UPCT,https://upct.odilotk.es/opac/#indice,Southern Europe,Spain,Spanish - English,Yes,UNIVERSIDAD POLITÉCNICA DE CARTAGENA,Yes,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Institutional publisher (the entity that controls publishing operations),"Production, IT, Communication, Administrative, legal and financial, Training, support and/or advice",,Publish and Service,Publish and Service,Publish and Service,[No response],[No response],[No response],[No response],"Natural sciences,Engineering and technology,Agricultural sciences,Social sciences"
English,Kaplan Singapore,https://journals.sfu.ca/jalt/index.php/jalt,Rest of World,Singapore,[No response],Yes,Kaplan International,No,Corporation (owned by Shareholders),[No response],Service provider to institutional publishers (an entity tasked by an  institution  or an institutional publisher with carrying out specific services),"Editorial, Production, Communication, Training, support and/or advice",,Publish,[No response],[No response],[No response],[No response],[No response],[No response],Social sciences
Croatian,Hrvatsko društvo željezničkih inženjera,https://www.hdzi.hr,Southern Europe,Croatia,Croatian - English - German - Serbian - Slovene/Slovenian,Withdrawn,HDŽI – Hrvatsko društvo željezničkih inženjera,Yes,Withdrawn,[No response],Withdrawn,Withdrawn,,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Engineering and technology
Italian,Milano University Press,https://milanoup.unimi.it/,Southern Europe,Italy,[No response],Yes,Università degli Studi di Milano,No,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Institutional publisher (the entity that controls publishing operations),"Editorial, IT, Communication, Administrative, legal and financial, Training, support and/or advice",,Publish,Publish,Publish,[No response],[No response],[No response],[No response],Multidisciplinary
Polish,Wydawnictwo Politechniki Śląskiej,https://sjsutst.polsl.pl/,Eastern Europe,Poland,Polish,Yes,Politechnika Śląska,No,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Institutional publisher (the entity that controls publishing operations),"Editorial, Production, IT, Communication, Administrative, legal and financial, Training, support and/or advice",,Publish,[No response],[No response],[No response],[No response],[No response],[No response],"Multidisciplinary,Engineering and technology,Social sciences"
Romanian,Editura Istros a Muzeului Brailei „Carol I”,https://www.muzeulbrailei.ro/editura-istros/,Eastern Europe,Romania,Romanian - English - French - Greek,Yes,MUZEUL BRĂILEI „CAROL I”,No,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Institutional publisher (the entity that controls publishing operations),Editorial,,Publish,Publish,[No response],[No response],[No response],Publish,[No response],"Natural sciences,Social sciences,Humanities,Non-academic"
German,Julius Kühn-Institut - Informationszentrum und Bibliothek,https://ojs.openagrar.de/,Western Europe,Germany,English - German,Yes,Julius Kühn-Institut,No,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Institutional publisher (the entity that controls publishing operations),Withdrawn,,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Withdrawn,Agricultural sciences
Spanish,José Félix Villanueva Baquedano,https://www.unav.edu/web/servicio-de-publicaciones,Southern Europe,Spain,Spanish - English - Italian - French - Portuguese,Yes,Universidad de Navarra,Yes,"Private not-for-profit organisation, (e.g. Charity, Foundation, Learned Society, or Association)",[No response],Institutional publisher (the entity that controls publishing operations),"Production, IT, Communication, Administrative, legal and financial, Training, support and/or advice",,Publish and Service,[No response],[No response],[No response],[No response],[No response],[No response],"Multidisciplinary,Social sciences,Humanities"
English,Karlstad University Press,https://www.kau.se/karlstad-university-press,Northern Europe,Sweden,English - Swedish,Yes,Karlstad University,Yes,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Institutional publisher (the entity that controls publishing operations),"Production, IT, Communication, Administrative, legal and financial, Training, support and/or advice",,Service,Publish,[No response],[No response],[No response],[No response],[No response],"Multidisciplinary,Natural sciences,Engineering and technology,Medical and health sciences,Agricultural sciences,Social sciences,Humanities"
French,IRD Éditions,https://www.editions.ird.fr/,Western Europe,France,French -  - English - Portuguese,Yes,IRD,Yes,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Institutional publisher (the entity that controls publishing operations),"Editorial, Production, Communication, Administrative, legal and financial, Training, support and/or advice",,Publish,Publish,[No response],[No response],[No response],[No response],[No response],"Multidisciplinary,Natural sciences,Medical and health sciences,Agricultural sciences,Social sciences"
French,Editions de la MSH,https://www.editions-msh.fr,Western Europe,France,[No response],Yes,Fondation Maison des sciences de l'homme,No,"Private not-for-profit organisation, (e.g. Charity, Foundation, Learned Society, or Association)",[No response],Institutional publisher (the entity that controls publishing operations),"Editorial, Production, IT, Communication, Administrative, legal and financial, Training, support and/or advice",,Publish,Publish,[No response],[No response],Publish,Publish,[No response],"Multidisciplinary,Social sciences,Humanities,Non-academic"
French,Pôle éditorial MSH Paris Nord,https://www.mshparisnord.fr/publication/revues/,Western Europe,France,French - English - Portuguese - Spanish,Yes,"MSH Paris Nord, adossée aux trois tutelles : Inshs, Université Paris 8 et USPN (l'Inshs restant l'acteur le plus proactif).",Yes,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Service provider to institutional publishers (an entity tasked by an  institution  or an institutional publisher with carrying out specific services),"Editorial, Production, IT, Communication, Administrative, legal and financial, Training, support and/or advice, Other","Le pôle fournit des services éditoriaux, mais les professionnels qui l'animent ne se chargent pas de l'évaluation scientifique en elle-même (fond scientifique), réservée à la communauté des chercheur·ses.",Publish and Service,[No response],[No response],[No response],[No response],[No response],[No response],"Social sciences,Humanities"
English,TU Delft OPEN Publishing,https://www.tudelft.nl/library/actuele-themas/open-publishing,Western Europe,Netherlands,[No response],Yes,Delft University of Technology,Yes,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Institutional publisher (the entity that controls publishing operations),"Editorial, IT, Communication, Administrative, legal and financial",,Publish,Publish,Publish,[No response],[No response],Publish,[No response],"Natural sciences,Engineering and technology"
German,Verlag des Forschungszentrums Jülich,https://www.fz-juelich.de/de/zb/leistungen/verlag,Western Europe,Germany,German - English,Yes,Forschungszentrum Jülich,Yes,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Institutional publisher (the entity that controls publishing operations),"Production, IT, Communication, Administrative, legal and financial, Training, support and/or advice",,Publish,Publish,Publish,Publish,Publish,[No response],Publish,"Multidisciplinary,Natural sciences,Engineering and technology,Medical and health sciences,Agricultural sciences"
Spanish,Asociación Ibérica de Limnología,https://www.limnetica.net/es,Southern Europe,Spain,English - Spanish - Portuguese - Galician - Catalan,Yes,Asociación Ibérica de Limnología,Yes,"Private not-for-profit organisation, (e.g. Charity, Foundation, Learned Society, or Association)",[No response],Service provider to institutional publishers (an entity tasked by an  institution  or an institutional publisher with carrying out specific services),"Editorial, Production, IT, Communication, Administrative, legal and financial",,Publish,Publish,[No response],[No response],Publish,[No response],[No response],Natural sciences
Italian,Istituto Nazionale di Geofisica e Vulcanologia,https://www.annalsofgeophysics.eu,Southern Europe,Italy,[No response],Yes,Istituto Nazionale di Geofisica e Vulcanologia,Yes,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Institutional publisher (the entity that controls publishing operations),"Editorial, Production",,Publish,[No response],Publish,[No response],[No response],[No response],[No response],Natural sciences
English,University of Ljubljana Press,https://www.uni-lj.si/ul_press/,Southern Europe,Slovenia,Slovene/Slovenian - English - German - French - Spanish,Yes,University of Ljubljana,Yes,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Institutional publisher (the entity that controls publishing operations),"Editorial, Production, IT, Communication, Training, support and/or advice",,Publish and Service,Publish and Service,Publish and Service,[No response],[No response],Publish and Service,[No response],"Multidisciplinary,Natural sciences,Engineering and technology,Medical and health sciences,Agricultural sciences,Social sciences,Humanities,Non-academic"
English,"Taiwania editorial office, National Taiwan University",https://taiwania.ntu.edu.tw,Rest of World,Taiwan,English,Yes,National Taiwan University Press,Yes,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Service provider to institutional publishers (an entity tasked by an  institution  or an institutional publisher with carrying out specific services),"Production, IT, Communication, Administrative, legal and financial, Training, support and/or advice",,Publish and Service,[No response],Service,[No response],[No response],[No response],[No response],"Natural sciences,Agricultural sciences"
Spanish,Grupo de Investigación Cibersomosaguas. Universidad Complutense de Madrid,https://revistas.ucm.es/index.php/tekn/index,Southern Europe,Spain,Portuguese - English - Spanish,Yes,Universidad Complutense de Madrid - Portal de Revista Científicas UCM,No,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Institutional publisher (the entity that controls publishing operations),"Editorial, Production, IT, Communication",,Publish and Service,[No response],[No response],[No response],[No response],[No response],[No response],"Multidisciplinary,Social sciences"
French,centre Mersenne,https://www.centre-mersenne.org,Western Europe,France,French - English,Yes,CNRS et Université Grenoble Alpes,No,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Service provider to institutional publishers (an entity tasked by an  institution  or an institutional publisher with carrying out specific services),"Production, IT, Administrative, legal and financial, Training, support and/or advice",,Publish and Service,[No response],[No response],[No response],[No response],[No response],[No response],"Natural sciences,Engineering and technology"
English,Fjellforsknett,https://utmark.org/,Northern Europe,Norway,Norwegian - Danish - Swedish - English,Yes,Norsk institutt for naturforskning (NINA),No,"Public organisation (e.g. university, research institute, laboratory, research organisation)",[No response],Institutional publisher (the entity that controls publishing operations),"Editorial, Production, IT",,Publish and Service,[No response],[No response],[No response],[No response],[No response],[No response],"Multidisciplinary,Natural sciences,Agricultural sciences,Social sciences,Humanities"
